Item_Number,English,Item_Number,French,One_to_Many
209,tummy,179,bedaine_ventre,NA
210,vagina,203,vagin_vulve,NA
211,basket,233,panier,NA
212,blanket,220,couverte_couverture,NA
213,bottle,212,bouteille,NA
214,box,210,boite,NA
215,bowl,211,bol,NA
216,broom,209,balai,NA
217,brush,213,brosse,NA
218,bucket,245,seau,NA
219,camera,215,camera,NA
220,can,NA,NA,NA
221,clock,223,horloge,NA
222,comb,235,peigne,NA
223,cup,249,tasse,NA
224,dish,238,plat,NA
225,fork,222,fourchette,NA
226,garbage,240,poubelle,NA
227,glass,251,verre,NA
228,glasses,227,lunettes,NA
229,hammer,228,marteau,NA
230,jar,239,pot,NA
231,keys,217,cles,NA
232,knife,219,couteau,NA
233,lamp,225,lampe,NA
234,light,226,lumiere,NA
235,medicine,229,medicament,NA
236,money,206,argent,NA
237,mop,NA,NA,NA
238,nail,218,clou,NA
239,napkin,247,serviette_de_table,NA
240,paper,234,papier,NA
241,penny,248,sou,NA
242,picture,224,image,english
242,picture,236,photo,english
243,pillow,232,oreiller,NA
244,plant,237,plante,NA
245,plate,208,assiette,NA
246,purse,243,sacoche_sac_a_main,NA
247,radio,241,radio,NA
248,scissors,216,ciseaux,NA
249,soap,244,savon,NA
250,spoon,221,cuillere,NA
251,tape,242,ruban,NA
252,telephone,250,telephone,NA
253,tissue_kleenex,231,mouchoir_kleenex,NA
254,toothbrush,214,brosse_a_dent,NA
255,towel,246,serviette,NA
256,trash,252,vidanges,NA
257,tray,NA,NA,NA
258,vacuum,207,aspirateur,NA
259,walker,NA,NA,NA
260,watch,230,montre,NA
261,basement,283,sous_sol,NA
262,bathroom,280,salle_de_bain_toilette,NA
263,bathtub,253,bain,NA
264,bed,273,lit,NA
265,bedroom,259,chambre,NA
266,bench,254,banc,NA
267,chair,256,chaise,NA
268,closet,271,garde_robe,NA
269,couch,261,divan_sofa,french
270,crib,255,bassinette_berceau,NA
271,door,278,porte,NA
272,drawer,286,tiroir,NA
273,dryer,282,secheuse,NA
274,garage,270,garage,NA
275,high_chair,258,chaise_haute,NA
276,kitchen,260,cuisine,NA
277,living_room,281,salon,NA
278,oven,267,four,NA
279,play_pen,275,parc _d_enfant,NA
280,porch,319,veranda_balcon,NA
281,potty,279,pot,NA
282,refrigerator,269,frigidaire_frigo,NA
283,rocking_chair,257,chaise_bercante,NA
284,room,276,piece,NA
285,shower,262,douche,NA
286,sink,265,evier_lavabo,NA
287,sofa,261,divan_sofa,french
288,stairs,264,escalier,NA
289,stove,277,poele,NA
290,table,284,table,NA
291,TV,285,television,NA
292,washing_machine,272,laveuse,NA
293,window,266,fenetre,NA
294,backyard,293,cour,NA
295,cloud,304,nuage,NA
296,flag,294,drapeau,NA
297,flower,298,fleur,NA
298,garden,301,jardin,NA
299,grass,299,gazon,NA
300,hose,317,tuyau_boyau,NA
301,ladder,296,echelle,NA
302,lawn_mower,315,tondeuse,NA
303,moon,302,lune,NA
304,pool,307,piscine,NA
305,rain,308,pluie,NA
306,rock,309,roche,NA
307,roof,314,toit,NA
308,sandbox,NA,NA,NA
309,shovel,305,pelle,NA
310,sidewalk,316,trottoir,NA
311,sky,292,ciel,NA
312,slide,300,glissoire,NA
313,snow,303,neige,NA
314,snowman,291,bonhomme_de_neige,NA
315,sprinkler,NA,NA,NA
316,star,297,etoile,NA
317,stick,290,baton,NA
318,stone,306,pierre,NA
319,street,311,rue,NA
320,sun,313,soleil,NA
321,swing,289,balancoire,NA
322,tree,287,arbre,NA
323,water,295,eau,NA
324,wind,318,vent,NA
325,beach,335,plage,NA
326,camping,321,camping,NA
327,church,326,eglise,NA
328,circus,323,cirque,NA
329,country,320,campagne,NA
330,downtown,NA,NA,NA
331,farm,327,ferme,NA
332,gas_station,330,garage_essence,NA
333,home,322,chez_nous,NA
334,house,332,maison,NA
335,movie,NA,NA,NA
336,outside,324,dehors,NA
337,park,333,parc,NA
338,party,328,fete,NA
339,picnic,334,pique_nique,NA
340,playground,336,terrain_de_jeu,NA
341,school,325,ecole,NA
342,store,331,magasin,NA
343,woods,329,foret,NA
344,work,337,travail_bureau,NA
345,yard,NA,NA,NA
346,zoo,338,zoo,NA
347,aunt,367,tante_matante,NA
348,baby,340,bebe,NA
349,babysitter,350,gardienne,NA
350,babysitter_s_name,358,nom_du_gardienne,NA
351,boy,349,garcon,NA
352,brother,348,frere,NA
353,child,345,enfant,NA
354,clown,342,clown,NA
355,cowboy,343,cowboy,NA
356,daddy,360,papa,NA
357,doctor,344,docteur,NA
358,fireman,363,pompier,NA
359,friend,339,ami,NA
360,girl,347,fille,NA
361,grandma,352,grand_maman,NA
362,grandpa,353,grand_papa,NA
363,lady,354,madame,NA
364,mailman,346,facteur,NA
365,man,356,monsieur,NA
366,mommy,355,maman,NA
367,nurse,NA,NA,NA
368,child_s_own_name,366,son_propre_nom,NA
369,people,351,gens_monde,NA
370,person,361,personne,NA
371,pet_s_name,357,nom_de_l_animal_domestique,NA
372,police,362,police,NA
373,sister,365,soeur,NA
374,teacher,364,professeur_e,NA
375,uncle,359,oncle_mononcle,NA
376,bath,370,bain,NA
377,breakfast,378,dejeuner,NA
378,bye,374,bye_au_revoir,NA
379,call_on_phone,NA,NA,NA
380,dinner,395,souper,NA
381,give_me_five,381,donne_moi_cinq_tape_dedans,NA
382,gonna_get_you,386,j_vais_t_attraper,NA
383,go_potty,382,faire_caca_faire_pipi,NA
384,hi,369,allo,NA
385,hello,371,bonjour,NA
386,lunch,379,diner,NA
387,nap,380,dodo,NA
388,night_night,372,bonne_nuit,NA
389,no,389,non,NA
390,patty_cake,NA,NA,NA
391,peekaboo,377,coucou,NA
392,please,394,s_il_vous_plait,NA
393,shh_shush_hush,375,chut,NA
394,shopping,368,aller_au_magasin,NA
395,snack,376,collation,NA
396,so_big,384,gros_comme_ca,NA
397,thank_you,388,merci,NA
398,this_little_piggy,NA,NA,NA
399,turn_around,393,retourne_toi,NA
400,yes,391,oui,NA
401,bite,467,mordre,NA
402,blow,490,souffler,NA
403,break,417,briser_caser,NA
404,bring,402,amener,english
404,bring,404,apporter,english
405,build,427,construire_batir,NA
406,bump,NA,NA,NA
407,buy,397,acheter,NA
408,carry,499,transporter,NA
409,catch,410,attraper,NA
410,chase,NA,NA,NA
411,clap,403,applaudir,NA
412,clean,469,nettoyer,NA
413,climb,455,grimper,NA
414,close,451,fermer,NA
415,cook,NA,NA,NA
416,cover,430,couvrir,NA
417,cry,476,pleurer,NA
418,cut,428,couper,NA
419,dance,432,danser,NA
420,draw,436,dessiner,NA
421,drink,415,boire,NA
422,drive,426,conduire,NA
423,drop,440,echapper,NA
424,dry,488,secher,NA
425,dump,NA,NA,NA
426,eat,462,manger,NA
427,fall,496,tomber,NA
428,feed,NA,NA,NA
429,find,501,trouver,NA
430,finish,452,finir,NA
431,fit,NA,NA,NA
432,fix,484,reparer,NA
433,get,NA,NA,NA
434,give,438,donner,NA
435,go,400,aller_au_magasin,NA
436,hate,NA,NA,NA
437,have,411,avoir,NA
438,hear,446,entendre,NA
439,help,398,aider,NA
440,hide,419,cacher,NA
441,hit,NA,NA,NA
442,hold,494,tenir,NA
443,hug,NA,NA,NA
444,hurry,489,se_depecher,NA
445,jump,487,sauter,NA
446,kick,NA,NA,NA
447,kiss,444,embrasser,NA
448,knock,424,cogner_a,NA
449,lick,460,lecher,NA
450,like,399,aimer,french
451,listen,441,ecouter,NA
452,look,482,regarder,NA
453,love,399,aimer,french
454,make,450,faire,NA
455,open,470,ouvrir,NA
456,paint,474,peinturer,NA
457,pick,423,choisir,NA
458,play,457,jouer,NA
459,pour,503,verser,NA
460,pretend,NA,NA,NA
461,pull,495,tirer,NA
462,push,477,pousser,NA
463,put,464,mettre,NA
464,read,461,lire,NA
465,ride,NA,NA,NA
466,rip,434,dechirer,french
467,run,429,courir,NA
468,say,437,dire,NA
469,see,504,voir,NA
470,shake,416,brasser,NA
471,share,472,partager,NA
472,show,466,montrer,NA
473,sing,420,chanter,NA
474,sit,407,asseoir,NA
475,skate,473,patiner,NA
476,sleep,439,dormir ,NA
477,slide,453,glisser,NA
478,smile,491,sourire,NA
479,spill,483,renverser,NA
480,splash,NA,NA,NA
481,stand,NA,NA,NA
482,stay,485,rester,NA
483,stop,405,arreter,NA
484,sweep,413,balayer,NA
485,swim,468,nager,NA
486,swing,412,balancer,NA
487,take,479,prendre,NA
488,talk,471,parler,NA
489,taste,454,gouter,NA
490,tear,434,dechirer,french
491,think,475,penser,NA
492,throw,458,lancer,NA
493,tickle,421,chatouiller,NA
494,touch,497,toucher,NA
495,wait,409,attendre,NA
496,wake,486,reveiller,NA
