"word_pairs","english_item_id","english_word_full","french_item_id","french_word_full","rank","cognate_status","lexical_category","english_category","french_category","Eng_AoA","Fr_AoA","matches"
"strawberry - fraise",149,"strawberry",110,"fraise",NA,"non-cognate","nouns","food_drink","food_drink",24,22,"0.24.22.1"
"table - table",290,"table",284,"table",82.5,"cognate","nouns","furniture_rooms","furniture_rooms",24,23,"0.24.23.1"
"shower - douche",285,"shower",262,"douche",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",24,23,"0.24.23.1"
"giraffe - girafe",32,"giraffe",30,"girafe",108.5,"cognate","nouns","animals","animals",24,24,"0.24.24.1"
"puzzle - casse_tete",85,"puzzle",74,"casse_tete",NA,"non-cognate","nouns","toys","toys",24,24,"0.24.24.1"
"tiger - tigre",51,"tiger",50,"tigre",73.5,"cognate","nouns","animals","animals",24,25,"0.24.25.1"
"stick - bâton",317,"stick",290,"bâton",NA,"non-cognate","nouns","outside","outside",24,25,"0.24.25.1"
"butter - beurre",93,"butter",90,"beurre",21,"cognate","nouns","food_drink","food_drink",24,25,"0.24.25.2"
"kitchen - cuisine",276,"kitchen",260,"cuisine",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",24,25,"0.24.25.2"
"animal - animal",14,"animal",17,"animal",111,"cognate","nouns","animals","animals",24,26,"0.24.26.1"
"owl - hibou",42,"owl",32,"hibou",NA,"non-cognate","nouns","animals","animals",24,26,"0.24.26.1"
"medicine - médicament",235,"medicine",229,"médicament",34,"cognate","nouns","household","household",24,27,"0.24.27.1"
"pancake - crepe",130,"pancake",108,"crepe",NA,"non-cognate","nouns","food_drink","food_drink",24,27,"0.24.27.1"
"chocolate - chocolat",101,"chocolate",101,"chocolat",77,"cognate","nouns","food_drink","food_drink",25,22,"0.25.22.1"
"present - cadeau",84,"present",73,"cadeau",NA,"non-cognate","nouns","toys","toys",25,22,"0.25.22.1"
"soup - soupe",147,"soup",143,"soupe",125,"cognate","nouns","food_drink","food_drink",25,23,"0.25.23.1"
"knife - couteau",232,"knife",219,"couteau",NA,"non-cognate","nouns","household","household",25,23,"0.25.23.1"
"coffee - cafe",102,"coffee",96,"cafe",NA,"cognate","nouns","food_drink","food_drink",25,24,"0.25.24.1"
"stroller - poussette",65,"stroller",63,"poussette",NA,"non-cognate","nouns","vehicles","vehicles",25,24,"0.25.24.1"
"shorts - shorts",175,"shorts",176,"shorts",95,"cognate","nouns","clothing","clothing",25,26,"0.25.26.1"
"street - rue",319,"street",311,"rue",NA,"non-cognate","nouns","outside","outside",25,26,"0.25.26.1"
